Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG
Acura,Gasoline,4,35,25
Acura,Gasoline,6,28,21
Alfa Romeo,Gasoline,4,33,24
Alfa Romeo,Gasoline,6,24,17
Aston Martin,Gasoline,12,19,12
Audi,Gasoline,4,30,23
Audi,Gasoline,6,27,19
Audi,Gasoline,8,26,17
Audi,Gasoline,10,22,14
Audi,Gasoline,4,32,24
Bentley,Gasoline,8,22,13
Bentley,Gasoline,12,20,12
BMW,Diesel,4,41,30
BMW,Diesel,6,29,23
BMW,Electricity,0,109,133
BMW,Gasoline,2,33,36
BMW,Gasoline,3,29,28
BMW,Gasoline,8,23,15
Buick,Gasoline,4,27,20
Buick,Gasoline,4,31,23
Buick,Gasoline,6,26,18
Cadillac,Gasoline,6,25,17
Cadillac,Gasoline,8,21,14
Chevrolet,Diesel,4,29,21
Chevrolet,Electricity,0,110,128
Chevrolet,Gasoline,4,34,27
Chrysler,Gasoline,8,25,16
Chrysler,Gasoline,4,36,23
Dodge,Gasoline,8,24,15
Dodge,Gasoline,4,25,19
Ferrari,Gasoline,12,16,12
Fiat,Electricity,0,103,121
Ford,Electricity,0,96,118
Ford,Gasoline,6,18,11
Ford,Gasoline,3,40,29
Ford,Gasoline,6,23,17
Honda,Gasoline,4,38,30
Honda,Gasoline,4,37,29
Hyundai,Electricity,0,122,150
Jaguar,Diesel,4,39,30
Jeep,Gasoline,8,19,13
Jeep,Gasoline,6,22,17
Kia,Electricity,0,92,120
Lamborghini,Gasoline,12,17,10
Maserati,Gasoline,8,20,14
Mercedes-Benz,Electricity,0,82,85
Mitsubishi,Electricity,0,102,121
Mitsubishi,Gasoline,3,42,35
Nissan,Electricity,0,101,124
smart,Gasoline,3,39,32
Tesla,Electricity,0,98,92
Toyota,Gasoline,8,18,13
